#	########################################
#	##### Peptide Assembling by Sipros #####
#	########################################
#
#	###############
#	# Input Files #
#	###############
#
#	[Input_Files]
#
#	psm{Run1} = sipNew/Pan_052322_X1.psm.txt
#
#	pep{Run1} = sipNew/Pan_052322_X1.pep.txt
#
#	########################
#	# Filtering Parameters #
#	########################
#
#	[Protein_Identification]
#
#	# Minimum number of peptides per protein
#	Min_Peptide_Per_Protein = 1
#
#	# Minimum number of unique peptides per protein
#	Min_Unique_Peptide_Per_Protein = 1
#
#	#######################
#	# Statistical Results #
#	#######################
#
#	[Statistical_Results]
#
#	# Numbers of proteins before filtering
#	Decoy_Proteins_Before_Filtering = 72
#	Target_Proteins_Before_Filtering = 1196
#	Total_Proteins_Before_Filtering = 1268
#
#	# Numbers of proteins after filtering
#	Decoy_Proteins_After_Filtering = 71
#	Target_Proteins_After_Filtering = 1183
#	Total_Proteins_After_Filtering = 1254
#
#	# Protein FDR = Decoy_Proteins_After_Filtering / Total_Proteins_After_Filtering
#	Protein_FDR = 0.0566188197767
#
#	################
#	# Column Names #
#	################
#
#	[Column_Names]
#
#	+ = Marker of a protein line
#	ProteinID = Names of the protein
#	Run#_UniquePeptideCounts = Number of unique peptides in a run
#	Run#_TotalPeptideCounts = Number of all peptides in a run
#	Run#_UniqueSpectrumCounts = Number of unique PSM in a run
#	Run#_TotalSpectrumCounts = Number of all PSM in a run
#	Run#_BalancedSpectrumCounts = Balanced spectrum count in a run
#	ProteinDescription = Protein description
#	TargetMatch = T for target match and F for decoy match
#
#	* = Marker of a PSM line
#	Filename = Filename of input FT2 file
#	ScanNumber = Scan number of the PSM
#	ParentCharge = Charge state of the PSM
#	MeasuredParentMass = Measured parent mass
#	CalculatedParentMass = Calculated parent mass from peptide sequence
#	MassErrorDa = Mass error in Da with 1-Da error correction
#	MassErrorPPM = Mass error in PPM with 1-Da error correction
#	ScanType = Scan type of the PSM
#	SearchName = Sipros search name
#	ScoringFunction = Scoring function used in the search
#	Score = Score
#	DeltaZ = Difference between the best PSM and the next best PSM of this scan
#	DeltaP = Difference between the best modified PSM and its PTM isoform
#	IdentifiedPeptide = Identified peptide sequence with potential PTMs and mutations
#	OriginalPeptide = Original peptide sequence in the FASTA file
#	ProteinNames = Names of proteins of the peptide
#	ProteinCount = Number of proteins that the peptide can be assigned to
#	TargetMatch = T for target match and F for decoy match
#
	ProteinID	AverageEnrichmentLevel	StandardDeviation	UniqueSpectrumCounts	TotalSpectrumCounts	EnrichmentLevels	ProteinDescription
+	{sp|P0AC62|GLRX3_ECOLI}	48000	0	1	1	{48000}	{sp|P0AC62|GLRX3_ECOLI Glutaredoxin 3 OS=Escherichia coli (strain K12) OX=83333 GN=grxC PE=1 SV=2}
+	{sp|P77213|GCS2_ECOLI}	50000	0	2	2	{50000,50000}	{sp|P77213|GCS2_ECOLI Putative glutamate--cysteine ligase 2 OS=Escherichia coli (strain K12) OX=83333 GN=ybdK PE=1 SV=1}
+	{sp|P0ABB0|ATPA_ECOLI}	43000	0	7	7	{43000,43000,43000,43000,43000,43000,43000}	{sp|P0ABB0|ATPA_ECOLI ATP synthase subunit alpha OS=Escherichia coli (strain K12) OX=83333 GN=atpA PE=1 SV=1}
+	{sp|P0A6L0|DEOC_ECOLI}	49000	0	6	6	{49000,49000,49000,49000,49000,49000}	{sp|P0A6L0|DEOC_ECOLI Deoxyribose-phosphate aldolase OS=Escherichia coli (strain K12) OX=83333 GN=deoC PE=1 SV=1}
+	{sp|P05793|ILVC_ECOLI}	44000	0	3	3	{44000,44000,44000}	{sp|P05793|ILVC_ECOLI Ketol-acid reductoisomerase (NADP(+)) OS=Escherichia coli (strain K12) OX=83333 GN=ilvC PE=1 SV=4}
+	{sp|P10378|ENTE_ECOLI}	45000	0	2	2	{45000,45000}	{sp|P10378|ENTE_ECOLI Enterobactin synthase component E OS=Escherichia coli (strain K12) OX=83333 GN=entE PE=1 SV=3}
+	{sp|P0AFL3|PPIA_ECOLI}	52000	0	3	3	{52000,52000,52000}	{sp|P0AFL3|PPIA_ECOLI Peptidyl-prolyl cis-trans isomerase A OS=Escherichia coli (strain K12) OX=83333 GN=ppiA PE=1 SV=1}
+	{sp|P67087|RSMI_ECOLI}	51000	0	3	3	{51000,51000,51000}	{sp|P67087|RSMI_ECOLI Ribosomal RNA small subunit methyltransferase I OS=Escherichia coli (strain K12) OX=83333 GN=rsmI PE=1 SV=1}
+	{sp|P0CE47|EFTU1_ECOLI,sp|P0CE48|EFTU2_ECOLI}	68000	0	1	1	{68000}	{sp|P0CE47|EFTU1_ECOLI Elongation factor Tu 1 OS=Escherichia coli (strain K12) OX=83333 GN=tufA PE=1 SV=1,sp|P0CE48|EFTU2_ECOLI Elongation factor Tu 2 OS=Escherichia coli (strain K12) OX=83333 GN=tufB PE=1 SV=1}
+	{sp|P0AEQ3|GLNH_ECOLI}	47000	0	4	4	{47000,47000,47000,47000}	{sp|P0AEQ3|GLNH_ECOLI Glutamine-binding periplasmic protein OS=Escherichia coli (strain K12) OX=83333 GN=glnH PE=1 SV=1}
+	{sp|P0A7D4|PURA_ECOLI}	45000	0	10	10	{45000,45000,45000,45000,45000,45000,45000,45000,45000,45000}	{sp|P0A7D4|PURA_ECOLI Adenylosuccinate synthetase OS=Escherichia coli (strain K12) OX=83333 GN=purA PE=1 SV=2}
+	{sp|P22333|ADD_ECOLI}	53000	0	2	2	{53000,53000}	{sp|P22333|ADD_ECOLI Adenosine deaminase OS=Escherichia coli (strain K12) OX=83333 GN=add PE=1 SV=2}
+	{sp|P07862|DDLB_ECOLI}	49000	0	4	4	{49000,49000,49000,49000}	{sp|P07862|DDLB_ECOLI D-alanine--D-alanine ligase B OS=Escherichia coli (strain K12) OX=83333 GN=ddlB PE=1 SV=3}
+	{sp|P77804|YDGA_ECOLI}	61000	0	1	1	{61000}	{sp|P77804|YDGA_ECOLI Protein YdgA OS=Escherichia coli (strain K12) OX=83333 GN=ydgA PE=1 SV=1}
+	{sp|P45470|YHBO_ECOLI}	49000	0	2	2	{49000,49000}	{sp|P45470|YHBO_ECOLI Protein/nucleic acid deglycase 2 OS=Escherichia coli (strain K12) OX=83333 GN=yhbO PE=1 SV=2}
+	{sp|P0A9U3|YBIT_ECOLI}	55000	0	1	1	{55000}	{sp|P0A9U3|YBIT_ECOLI Probable ATP-binding protein YbiT OS=Escherichia coli (strain K12) OX=83333 GN=ybiT PE=1 SV=1}
+	{sp|P0AAB6|GALF_ECOLI}	59000	0	2	2	{59000,59000}	{sp|P0AAB6|GALF_ECOLI UTP--glucose-1-phosphate uridylyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=galF PE=1 SV=1}
+	{sp|P11454|ENTF_ECOLI}	47000	0	11	11	{47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000}	{sp|P11454|ENTF_ECOLI Enterobactin synthase component F OS=Escherichia coli (strain K12) OX=83333 GN=entF PE=1 SV=3}
+	{sp|P0AFX0|HPF_ECOLI}	48000	0	3	3	{48000,48000,48000}	{sp|P0AFX0|HPF_ECOLI Ribosome hibernation promoting factor OS=Escherichia coli (strain K12) OX=83333 GN=hpf PE=1 SV=1}
+	{sp|P31554|LPTD_ECOLI}	68000	0	1	1	{68000}	{sp|P31554|LPTD_ECOLI LPS-assembly protein LptD OS=Escherichia coli (strain K12) OX=83333 GN=lptD PE=1 SV=2}
+	{sp|P0AG55|RL6_ECOLI}	49000	0	9	9	{49000,49000,49000,49000,49000,49000,49000,49000,49000}	{sp|P0AG55|RL6_ECOLI 50S ribosomal protein L6 OS=Escherichia coli (strain K12) OX=83333 GN=rplF PE=1 SV=2}
+	{sp|P0A8F8|UVRB_ECOLI}	51000	0	1	1	{51000}	{sp|P0A8F8|UVRB_ECOLI UvrABC system protein B OS=Escherichia coli (strain K12) OX=83333 GN=uvrB PE=1 SV=2}
+	{sp|P33221|PURT_ECOLI}	51000	0	7	7	{51000,51000,51000,51000,51000,51000,51000}	{sp|P33221|PURT_ECOLI Formate-dependent phosphoribosylglycinamide formyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=purT PE=1 SV=3}
+	{sp|P69441|KAD_ECOLI}	53000	0	2	2	{53000,53000}	{sp|P69441|KAD_ECOLI Adenylate kinase OS=Escherichia coli (strain K12) OX=83333 GN=adk PE=1 SV=1}
+	{sp|P18335|ARGD_ECOLI}	40000	0	2	2	{40000,40000}	{sp|P18335|ARGD_ECOLI Acetylornithine/succinyldiaminopimelate aminotransferase OS=Escherichia coli (strain K12) OX=83333 GN=argD PE=1 SV=4}
+	{sp|P23908|ARGE_ECOLI}	44000	0	1	1	{44000}	{sp|P23908|ARGE_ECOLI Acetylornithine deacetylase OS=Escherichia coli (strain K12) OX=83333 GN=argE PE=1 SV=2}
+	{sp|P00550|PTM3C_ECOLI}	49000	0	3	3	{49000,49000,49000}	{sp|P00550|PTM3C_ECOLI PTS system mannitol-specific EIICBA component OS=Escherichia coli (strain K12) OX=83333 GN=mtlA PE=1 SV=1}
+	{sp|P0A7Z0|RPIA_ECOLI}	55000	0	1	1	{55000}	{sp|P0A7Z0|RPIA_ECOLI Ribose-5-phosphate isomerase A OS=Escherichia coli (strain K12) OX=83333 GN=rpiA PE=1 SV=1}
+	{sp|P0AE18|MAP1_ECOLI}	45000	0	4	4	{45000,45000,45000,45000}	{sp|P0AE18|MAP1_ECOLI Methionine aminopeptidase OS=Escherichia coli (strain K12) OX=83333 GN=map PE=1 SV=1}
+	{sp|P23865|PRC_ECOLI}	46000	0	1	1	{46000}	{sp|P23865|PRC_ECOLI Tail-specific protease OS=Escherichia coli (strain K12) OX=83333 GN=prc PE=1 SV=2}
+	{sp|P07118|SYV_ECOLI}	49000	0	14	14	{49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000}	{sp|P07118|SYV_ECOLI Valine--tRNA ligase OS=Escherichia coli (strain K12) OX=83333 GN=valS PE=1 SV=2}
+	{sp|P0ABC3|HFLC_ECOLI}	48000	0	2	2	{48000,48000}	{sp|P0ABC3|HFLC_ECOLI Modulator of FtsH protease HflC OS=Escherichia coli (strain K12) OX=83333 GN=hflC PE=1 SV=1}
+	{sp|P31677|OTSA_ECOLI}	50000	0	3	3	{50000,50000,50000}	{sp|P31677|OTSA_ECOLI Trehalose-6-phosphate synthase OS=Escherichia coli (strain K12) OX=83333 GN=otsA PE=1 SV=3}
+	{sp|P0AAX8|YBIS_ECOLI}	51000	0	2	2	{51000,51000}	{sp|P0AAX8|YBIS_ECOLI Probable L,D-transpeptidase YbiS OS=Escherichia coli (strain K12) OX=83333 GN=ybiS PE=1 SV=1}
+	{sp|P0A8E1|YCFP_ECOLI}	48000	0	7	7	{48000,48000,48000,48000,48000,48000,48000}	{sp|P0A8E1|YCFP_ECOLI UPF0227 protein YcfP OS=Escherichia coli (strain K12) OX=83333 GN=ycfP PE=1 SV=1}
+	{sp|P04391|OTC1_ECOLI,sp|P06960|OTC2_ECOLI}	53000	0	1	1	{53000}	{sp|P04391|OTC1_ECOLI Ornithine carbamoyltransferase subunit I OS=Escherichia coli (strain K12) OX=83333 GN=argI PE=1 SV=3,sp|P06960|OTC2_ECOLI Ornithine carbamoyltransferase subunit F OS=Escherichia coli (strain K12) OX=83333 GN=argF PE=1 SV=4}
+	{sp|P37647|KDGK_ECOLI}	53000	0	7	7	{53000,53000,53000,53000,53000,53000,53000}	{sp|P37647|KDGK_ECOLI 2-dehydro-3-deoxygluconokinase OS=Escherichia coli (strain K12) OX=83333 GN=kdgK PE=1 SV=1}
+	{sp|P04425|GSHB_ECOLI}	54000	0	1	1	{54000}	{sp|P04425|GSHB_ECOLI Glutathione synthetase OS=Escherichia coli (strain K12) OX=83333 GN=gshB PE=1 SV=1}
+	{sp|P0AA25|THIO_ECOLI}	52000	0	1	1	{52000}	{sp|P0AA25|THIO_ECOLI Thioredoxin 1 OS=Escherichia coli (strain K12) OX=83333 GN=trxA PE=1 SV=2}
+	{sp|P0ADE6|KBP_ECOLI}	47000	0	9	9	{47000,47000,47000,47000,47000,47000,47000,47000,47000}	{sp|P0ADE6|KBP_ECOLI Potassium binding protein Kbp OS=Escherichia coli (strain K12) OX=83333 GN=kbp PE=1 SV=2}
+	{sp|P76187|YDHF_ECOLI}	48000	0	1	1	{48000}	{sp|P76187|YDHF_ECOLI Oxidoreductase YdhF OS=Escherichia coli (strain K12) OX=83333 GN=ydhF PE=1 SV=2}
+	{sp|P0AFX0|HPF_ECOLI}	50000	0	1	1	{50000}	{sp|P0AFX0|HPF_ECOLI Ribosome hibernation promoting factor OS=Escherichia coli (strain K12) OX=83333 GN=hpf PE=1 SV=1}
+	{sp|P38104|RSPA_ECOLI}	47000	0	1	1	{47000}	{sp|P38104|RSPA_ECOLI Starvation-sensing protein RspA OS=Escherichia coli (strain K12) OX=83333 GN=rspA PE=2 SV=1}
+	{sp|P69776|LPP_ECOLI}	62000	0	1	1	{62000}	{sp|P69776|LPP_ECOLI Major outer membrane lipoprotein Lpp OS=Escherichia coli (strain K12) OX=83333 GN=lpp PE=1 SV=1}
+	{sp|P0ACA1|YIBF_ECOLI}	54000	0	3	3	{54000,54000,54000}	{sp|P0ACA1|YIBF_ECOLI Uncharacterized GST-like protein YibF OS=Escherichia coli (strain K12) OX=83333 GN=yibF PE=1 SV=1}
+	{sp|P0A8I5|TRMB_ECOLI}	58000	0	1	1	{58000}	{sp|P0A8I5|TRMB_ECOLI tRNA (guanine-N(7)-)-methyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=trmB PE=1 SV=1}
+	{sp|P0A877|TRPA_ECOLI}	55000	0	4	4	{55000,55000,55000,55000}	{sp|P0A877|TRPA_ECOLI Tryptophan synthase alpha chain OS=Escherichia coli (strain K12) OX=83333 GN=trpA PE=1 SV=1}
+	{sp|P0A6M8|EFG_ECOLI}	58000	0	5	5	{58000,58000,58000,58000,58000}	{sp|P0A6M8|EFG_ECOLI Elongation factor G OS=Escherichia coli (strain K12) OX=83333 GN=fusA PE=1 SV=2}
+	{sp|P21362|YCIF_ECOLI}	48000	0	1	1	{48000}	{sp|P21362|YCIF_ECOLI Protein YciF OS=Escherichia coli (strain K12) OX=83333 GN=yciF PE=1 SV=1}
+	{sp|P37666|GHRB_ECOLI}	46000	0	2	2	{46000,46000}	{sp|P37666|GHRB_ECOLI Glyoxylate/hydroxypyruvate reductase B OS=Escherichia coli (strain K12) OX=83333 GN=ghrB PE=1 SV=3}
+	{sp|P07118|SYV_ECOLI}	44000	0	2	2	{44000,44000}	{sp|P07118|SYV_ECOLI Valine--tRNA ligase OS=Escherichia coli (strain K12) OX=83333 GN=valS PE=1 SV=2}
+	{sp|P0A908|MIPA_ECOLI}	48000	0	1	1	{48000}	{sp|P0A908|MIPA_ECOLI MltA-interacting protein OS=Escherichia coli (strain K12) OX=83333 GN=mipA PE=1 SV=1}
+	{sp|P0AGD7|SRP54_ECOLI}	46000	0	2	2	{46000,46000}	{sp|P0AGD7|SRP54_ECOLI Signal recognition particle protein OS=Escherichia coli (strain K12) OX=83333 GN=ffh PE=1 SV=1}
+	{sp|P37095|PEPB_ECOLI}	48000	0	3	3	{48000,48000,48000}	{sp|P37095|PEPB_ECOLI Peptidase B OS=Escherichia coli (strain K12) OX=83333 GN=pepB PE=1 SV=2}
+	{sp|P0A7G6|RECA_ECOLI}	49000	0	8	8	{49000,49000,49000,49000,49000,49000,49000,49000}	{sp|P0A7G6|RECA_ECOLI Protein RecA OS=Escherichia coli (strain K12) OX=83333 GN=recA PE=1 SV=2}
+	{sp|P00888|AROF_ECOLI}	49000	0	11	11	{49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000}	{sp|P00888|AROF_ECOLI Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive OS=Escherichia coli (strain K12) OX=83333 GN=aroF PE=1 SV=1}
+	{sp|P0AEW9|K1PF_ECOLI}	55000	0	1	1	{55000}	{sp|P0AEW9|K1PF_ECOLI 1-phosphofructokinase OS=Escherichia coli (strain K12) OX=83333 GN=fruK PE=1 SV=1}
+	{sp|P60757|HIS1_ECOLI}	49000	0	14	14	{49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000}	{sp|P60757|HIS1_ECOLI ATP phosphoribosyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=hisG PE=1 SV=1}
+	{sp|P76116|YNCE_ECOLI}	59000	0	2	2	{59000,59000}	{sp|P76116|YNCE_ECOLI Uncharacterized protein YncE OS=Escherichia coli (strain K12) OX=83333 GN=yncE PE=1 SV=1}
+	{sp|P24171|DCP_ECOLI}	47000	0	2	2	{47000,47000}	{sp|P24171|DCP_ECOLI Dipeptidyl carboxypeptidase OS=Escherichia coli (strain K12) OX=83333 GN=dcp PE=1 SV=4}
+	{sp|P22333|ADD_ECOLI}	54000	0	1	1	{54000}	{sp|P22333|ADD_ECOLI Adenosine deaminase OS=Escherichia coli (strain K12) OX=83333 GN=add PE=1 SV=2}
+	{sp|P12758|UDP_ECOLI}	48000	0	4	4	{48000,48000,48000,48000}	{sp|P12758|UDP_ECOLI Uridine phosphorylase OS=Escherichia coli (strain K12) OX=83333 GN=udp PE=1 SV=3}
+	{sp|P0A6P5|DER_ECOLI}	47000	0	4	4	{47000,47000,47000,47000}	{sp|P0A6P5|DER_ECOLI GTPase Der OS=Escherichia coli (strain K12) OX=83333 GN=der PE=1 SV=1}
+	{sp|P0ABD5|ACCA_ECOLI}	49000	0	6	6	{49000,49000,49000,49000,49000,49000}	{sp|P0ABD5|ACCA_ECOLI Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha OS=Escherichia coli (strain K12) OX=83333 GN=accA PE=1 SV=2}
+	{sp|P0A6K3|DEF_ECOLI}	53000	0	2	2	{53000,53000}	{sp|P0A6K3|DEF_ECOLI Peptide deformylase OS=Escherichia coli (strain K12) OX=83333 GN=def PE=1 SV=2}
+	{sp|P0AFG6|ODO2_ECOLI}	44000	0	1	1	{44000}	{sp|P0AFG6|ODO2_ECOLI Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex OS=Escherichia coli (strain K12) OX=83333 GN=sucB PE=1 SV=2}
+	{sp|P0A9P6|DEAD_ECOLI}	55000	0	1	1	{55000}	{sp|P0A9P6|DEAD_ECOLI ATP-dependent RNA helicase DeaD OS=Escherichia coli (strain K12) OX=83333 GN=deaD PE=1 SV=2}
+	{sp|P35340|AHPF_ECOLI}	54000	0	5	5	{54000,54000,54000,54000,54000}	{sp|P35340|AHPF_ECOLI Alkyl hydroperoxide reductase subunit F OS=Escherichia coli (strain K12) OX=83333 GN=ahpF PE=1 SV=2}
+	{sp|P77735|YAJO_ECOLI}	52000	0	7	7	{52000,52000,52000,52000,52000,52000,52000}	{sp|P77735|YAJO_ECOLI 1-deoxyxylulose-5-phosphate synthase YajO OS=Escherichia coli (strain K12) OX=83333 GN=yajO PE=1 SV=2}
+	{sp|P0A6V8|GLK_ECOLI}	43000	0	1	1	{43000}	{sp|P0A6V8|GLK_ECOLI Glucokinase OS=Escherichia coli (strain K12) OX=83333 GN=glk PE=1 SV=1}
+	{sp|P0C0L7|PROP_ECOLI}	48000	0	4	4	{48000,48000,48000,48000}	{sp|P0C0L7|PROP_ECOLI Proline/betaine transporter OS=Escherichia coli (strain K12) OX=83333 GN=proP PE=1 SV=1}
+	{sp|P0A6X7|IHFA_ECOLI}	49000	0	1	1	{49000}	{sp|P0A6X7|IHFA_ECOLI Integration host factor subunit alpha OS=Escherichia coli (strain K12) OX=83333 GN=ihfA PE=1 SV=1}
+	{sp|P0A8T7|RPOC_ECOLI}	47000	0	13	13	{47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000}	{sp|P0A8T7|RPOC_ECOLI DNA-directed RNA polymerase subunit beta' OS=Escherichia coli (strain K12) OX=83333 GN=rpoC PE=1 SV=1}
+	{sp|P0A6S7|GPDA_ECOLI}	43000	0	1	1	{43000}	{sp|P0A6S7|GPDA_ECOLI Glycerol-3-phosphate dehydrogenase [NAD(P)+] OS=Escherichia coli (strain K12) OX=83333 GN=gpsA PE=3 SV=1}
+	{sp|P0A6Y8|DNAK_ECOLI}	36000	0	1	1	{36000}	{sp|P0A6Y8|DNAK_ECOLI Chaperone protein DnaK OS=Escherichia coli (strain K12) OX=83333 GN=dnaK PE=1 SV=2}
+	{sp|P00904|TRPGD_ECOLI}	50000	0	6	6	{50000,50000,50000,50000,50000,50000}	{sp|P00904|TRPGD_ECOLI Bifunctional protein TrpGD OS=Escherichia coli (strain K12) OX=83333 GN=trpGD PE=1 SV=3}
+	{sp|P0A9X4|MREB_ECOLI}	39000	0	1	1	{39000}	{sp|P0A9X4|MREB_ECOLI Cell shape-determining protein MreB OS=Escherichia coli (strain K12) OX=83333 GN=mreB PE=1 SV=1}
+	{sp|P0AC86|PHSG_ECOLI}	52000	0	1	1	{52000}	{sp|P0AC86|PHSG_ECOLI Glycogen phosphorylase OS=Escherichia coli (strain K12) OX=83333 GN=glgP PE=3 SV=1}
+	{sp|P0ADG7|IMDH_ECOLI}	59000	0	1	1	{59000}	{sp|P0ADG7|IMDH_ECOLI Inosine-5'-monophosphate dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=guaB PE=1 SV=1}
+	{sp|P0A715|KDSA_ECOLI}	45000	0	4	4	{45000,45000,45000,45000}	{sp|P0A715|KDSA_ECOLI 2-dehydro-3-deoxyphosphooctonate aldolase OS=Escherichia coli (strain K12) OX=83333 GN=kdsA PE=1 SV=1}
+	{sp|P0A993|F16PA_ECOLI}	56000	0	1	1	{56000}	{sp|P0A993|F16PA_ECOLI Fructose-1,6-bisphosphatase class 1 OS=Escherichia coli (strain K12) OX=83333 GN=fbp PE=1 SV=1}
+	{sp|P0C0S1|MSCS_ECOLI}	48000	0	2	2	{48000,48000}	{sp|P0C0S1|MSCS_ECOLI Small-conductance mechanosensitive channel OS=Escherichia coli (strain K12) OX=83333 GN=mscS PE=1 SV=1}
+	{sp|P31460|DGOR_ECOLI}	54000	0	1	1	{54000}	{sp|P31460|DGOR_ECOLI Galactonate operon transcriptional repressor OS=Escherichia coli (strain K12) OX=83333 GN=dgoR PE=1 SV=4}
+	{sp|P0ABH9|CLPA_ECOLI}	41000	0	1	1	{41000}	{sp|P0ABH9|CLPA_ECOLI ATP-dependent Clp protease ATP-binding subunit ClpA OS=Escherichia coli (strain K12) OX=83333 GN=clpA PE=1 SV=1}
+	{sp|Q46948|YAJL_ECOLI}	48000	0	1	1	{48000}	{sp|Q46948|YAJL_ECOLI Protein/nucleic acid deglycase 3 OS=Escherichia coli (strain K12) OX=83333 GN=yajL PE=1 SV=2}
+	{sp|P09372|GRPE_ECOLI}	52000	0	3	3	{52000,52000,52000}	{sp|P09372|GRPE_ECOLI Protein GrpE OS=Escherichia coli (strain K12) OX=83333 GN=grpE PE=1 SV=1}
+	{sp|P39173|YEAD_ECOLI}	50000	0	4	4	{50000,50000,50000,50000}	{sp|P39173|YEAD_ECOLI Putative glucose-6-phosphate 1-epimerase OS=Escherichia coli (strain K12) OX=83333 GN=yeaD PE=1 SV=2}
+	{sp|P0A763|NDK_ECOLI}	57000	0	2	2	{57000,57000}	{sp|P0A763|NDK_ECOLI Nucleoside diphosphate kinase OS=Escherichia coli (strain K12) OX=83333 GN=ndk PE=1 SV=2}
+	{sp|P0A9A6|FTSZ_ECOLI}	47000	0	6	6	{47000,47000,47000,47000,47000,47000}	{sp|P0A9A6|FTSZ_ECOLI Cell division protein FtsZ OS=Escherichia coli (strain K12) OX=83333 GN=ftsZ PE=1 SV=1}
+	{sp|P04693|TYRB_ECOLI}	48000	0	4	4	{48000,48000,48000,48000}	{sp|P04693|TYRB_ECOLI Aromatic-amino-acid aminotransferase OS=Escherichia coli (strain K12) OX=83333 GN=tyrB PE=1 SV=1}
+	{sp|P0A6I0|KCY_ECOLI}	52000	0	1	1	{52000}	{sp|P0A6I0|KCY_ECOLI Cytidylate kinase OS=Escherichia coli (strain K12) OX=83333 GN=cmk PE=1 SV=1}
+	{sp|P76658|HLDE_ECOLI}	43000	0	2	2	{43000,43000}	{sp|P76658|HLDE_ECOLI Bifunctional protein HldE OS=Escherichia coli (strain K12) OX=83333 GN=hldE PE=1 SV=1}
+	{sp|P0ADE6|KBP_ECOLI}	54000	0	2	2	{54000,54000}	{sp|P0ADE6|KBP_ECOLI Potassium binding protein Kbp OS=Escherichia coli (strain K12) OX=83333 GN=kbp PE=1 SV=2}
+	{sp|P39452|RIR3_ECOLI}	35000	0	1	1	{35000}	{sp|P39452|RIR3_ECOLI Ribonucleoside-diphosphate reductase 2 subunit alpha OS=Escherichia coli (strain K12) OX=83333 GN=nrdE PE=2 SV=3}
+	{sp|P00904|TRPGD_ECOLI}	47000	0	5	5	{47000,47000,47000,47000,47000}	{sp|P00904|TRPGD_ECOLI Bifunctional protein TrpGD OS=Escherichia coli (strain K12) OX=83333 GN=trpGD PE=1 SV=3}
+	{sp|P0A9P4|TRXB_ECOLI}	51000	0	4	4	{51000,51000,51000,51000}	{sp|P0A9P4|TRXB_ECOLI Thioredoxin reductase OS=Escherichia coli (strain K12) OX=83333 GN=trxB PE=1 SV=2}
+	{sp|P04805|SYE_ECOLI}	46000	0	2	2	{46000,46000}	{sp|P04805|SYE_ECOLI Glutamate--tRNA ligase OS=Escherichia coli (strain K12) OX=83333 GN=gltX PE=1 SV=1}
+	{sp|P21889|SYD_ECOLI}	36000	0	1	1	{36000}	{sp|P21889|SYD_ECOLI Aspartate--tRNA ligase OS=Escherichia coli (strain K12) OX=83333 GN=aspS PE=1 SV=1}
+	{sp|P0AEZ1|METF_ECOLI}	45000	0	1	1	{45000}	{sp|P0AEZ1|METF_ECOLI 5,10-methylenetetrahydrofolate reductase OS=Escherichia coli (strain K12) OX=83333 GN=metF PE=1 SV=1}
+	{sp|P0ABB0|ATPA_ECOLI}	56000	0	10	10	{56000,56000,56000,56000,56000,56000,56000,56000,56000,56000}	{sp|P0ABB0|ATPA_ECOLI ATP synthase subunit alpha OS=Escherichia coli (strain K12) OX=83333 GN=atpA PE=1 SV=1}
+	{sp|P60422|RL2_ECOLI}	46000	0	8	8	{46000,46000,46000,46000,46000,46000,46000,46000}	{sp|P60422|RL2_ECOLI 50S ribosomal protein L2 OS=Escherichia coli (strain K12) OX=83333 GN=rplB PE=1 SV=2}
+	{sp|P0ACG1|STPA_ECOLI}	52000	0	3	3	{52000,52000,52000}	{sp|P0ACG1|STPA_ECOLI DNA-binding protein StpA OS=Escherichia coli (strain K12) OX=83333 GN=stpA PE=1 SV=1}
+	{sp|P0A993|F16PA_ECOLI}	51000	0	4	4	{51000,51000,51000,51000}	{sp|P0A993|F16PA_ECOLI Fructose-1,6-bisphosphatase class 1 OS=Escherichia coli (strain K12) OX=83333 GN=fbp PE=1 SV=1}
+	{sp|P08390|USG_ECOLI}	53000	0	1	1	{53000}	{sp|P08390|USG_ECOLI USG-1 protein OS=Escherichia coli (strain K12) OX=83333 GN=usg PE=1 SV=1}
+	{sp|P04816|LIVK_ECOLI}	48000	0	1	1	{48000}	{sp|P04816|LIVK_ECOLI Leucine-specific-binding protein OS=Escherichia coli (strain K12) OX=83333 GN=livK PE=1 SV=2}
+	{sp|P08660|AK3_ECOLI}	47000	0	1	1	{47000}	{sp|P08660|AK3_ECOLI Lysine-sensitive aspartokinase 3 OS=Escherichia coli (strain K12) OX=83333 GN=lysC PE=1 SV=2}
+	{sp|P0AG63|RS17_ECOLI}	51000	0	2	2	{51000,51000}	{sp|P0AG63|RS17_ECOLI 30S ribosomal protein S17 OS=Escherichia coli (strain K12) OX=83333 GN=rpsQ PE=1 SV=2}
